4.1333 0.0000
3.9974 0.0200
3.8701 0.0400
3.7506 0.0600
3.6383 0.1000
3.5326 0.1400
3.4328 0.2000
3.3385 0.2600
3.2492 0.3200
3.1646 0.3800
3.0843 0.4200
3.0079 0.4600
2.9353 0.5000
2.8660 0.5400
2.8000 0.5700
2.7369 0.6000
2.6767 0.6300
2.6190 0.6400
2.5637 0.6500
2.5107 0.6600
2.4599 0.6600
2.4111 0.6500
2.3642 0.6400
2.3191 0.6300
2.2757 0.6000
2.2338 0.5800
2.1935 0.5500
2.1546 0.5200
2.1171 0.4800
2.0808 0.4400
2.0458 0.4000
2.0119 0.3500
1.9792 0.3000
1.9474 0.2500
1.9167 0.2000
1.8870 0.1600
1.8581 0.1300
1.8301 0.1000
1.8030 0.0800
1.7766 0.0600
1.7510 0.0400
1.7261 0.0300
1.7020 0.0200
1.6785 0.0150
1.6556 0.0100
1.6333 0.0080
1.6117 0.0050
1.5906 0.0030
1.5700 0.0020
1.5500 0.0010
