Track_photon_ID	Energy_MeV	Wavelength_nm	Time_ns
39975	6.88148	180.171	22.3413
39974	6.95485	178.27	22.8543
39973	6.89954	179.699	25.7601
39972	6.91367	179.332	18.0175
39971	6.87277	180.399	18.2032
39970	6.96584	177.989	21.6865
39969	6.84207	181.209	20.7637
39968	7.01366	176.775	19.8869
39967	7.35311	168.615	19.6269
39966	6.92877	178.941	21.8334
39965	6.84264	181.194	19.3858
39964	6.99895	177.147	17.8549
39963	7.3265	169.227	17.8852
39962	7.07149	175.33	19.9521
39961	6.83028	181.521	23.6735
39960	6.8554	180.856	20.1166
39959	6.88027	180.202	20.089
39958	7.01918	176.636	21.224
39957	7.37495	168.115	20.1214
39956	7.05572	175.721	18.4222
39955	6.8447	181.139	21.5386
39954	7.00126	177.088	20.5518
39953	6.91127	179.394	19.7845
39952	7.32398	169.285	22.2559
39951	7.38558	167.873	23.3324
39950	6.91996	179.169	18.9616
39949	6.95952	178.15	18.6287
39948	6.93852	178.69	24.5048
39947	6.90949	179.44	18.125
39946	7.0133	176.784	22.5935
39945	6.82222	181.736	18.6322
39944	6.81962	181.805	19.3545
39943	7.33339	169.068	17.7765
39942	6.98605	177.474	24.0969
39941	7.07759	175.179	17.9044
39940	6.89533	179.809	19.8307
39939	6.89618	179.787	19.5401
39938	6.92253	179.102	23.3213
39937	6.67099	185.856	19.2546
39936	7.07252	175.304	18.7302
39935	6.92051	179.155	20.6019
39934	6.95203	178.343	18.3228
39933	6.75257	183.61	21.2756
39932	7.21865	171.755	20.6756
39931	6.92761	178.971	19.6616
39930	7.00775	176.924	18.6328
39929	6.9016	179.646	19.4927
39928	6.97432	177.773	17.9911
39927	7.35818	168.498	21.7251
39926	7.07135	175.333	24.4634
39925	6.92191	179.119	22.043
39924	6.85695	180.815	22.2517
39923	6.9913	177.341	22.3517
39922	6.92784	178.965	22.1163
39921	7.01791	176.668	21.2777
39920	6.97758	177.689	18.3877
39919	7.15143	173.37	20.3723
39918	6.9229	179.093	26.0007
39917	7.39938	167.56	22.8512
39916	7.26311	170.704	28.4941
39915	6.89033	179.939	18.0434
39914	7.35646	168.538	17.9229
39913	7.07015	175.363	21.9155
39912	6.91022	179.421	18.5752
39911	6.78814	182.648	19.7963
39910	7.07145	175.331	22.7761
39909	6.93592	178.757	21.7218
39908	7.02408	176.513	17.7775
39907	7.32784	169.196	22.5707
39906	6.93197	178.859	20.4253
39905	7.39161	167.736	18.3737
39904	6.96326	178.055	17.6903
39903	7.06226	175.559	20.455
39902	7.09977	174.631	18.8787
39901	6.95272	178.325	22.4561
39900	6.92214	179.112	17.7769
39899	6.91741	179.235	21.6417
39898	6.96461	178.02	24.5894
39897	6.82094	181.77	21.8536
39896	6.97592	177.732	23.3426
39895	7.3141	169.514	19.2022
39894	6.96572	177.992	20.2491
39893	6.93613	178.751	18.4523
39892	7.25624	170.866	20.2688
39891	6.94746	178.46	18.8178
39890	7.36149	168.423	18.5641
39889	7.07325	175.286	21.1317
39888	6.92904	178.934	19.5503
39887	6.60887	187.603	21.4579
39886	6.77384	183.034	17.877
39885	6.85494	180.868	17.9486
39884	6.93058	178.894	21.1959
39883	7.0786	175.154	20.646
39882	6.92974	178.916	18.6629
39881	7.08714	174.943	18.5523
39880	6.8416	181.221	18.1384
39879	7.08599	174.971	19.8602
39878	6.80948	182.076	17.7738
39877	7.39229	167.721	19.8931
39876	6.60299	187.77	20.2188
